№ (приоритет);Муж;Жен;Фам.;Имя.;Буква предш.оконч.;Исключения;Окончание в Им.П.;Родит.;Дательн.;Винит.;Творит.;Предложн.
1;;+;+;;;;С, -ь;;;;;
2;;+;;+;;;С;;;;;
3;+;+;+;;;; -ого, -яго, -ово, -ых, -их;;;;;
4;+;+;+;;;; -иа, -ия;;;;;
5;+;+;+;;;; -ко;;;;;
6;+;+;+;+;;Татьяна, Ларина, Юра;Г;;;;;
7;+;;+;;;; -х, -ц;;;;;
8;+;;+;+;;; -ь; -я; -ю; -я; -ем; -е
9;+;;+;;;; -ий, -ой; -ого; -ому; -ого; -им; -ом
10;+;;+;+;;; -й; -я; -ю; -я; -ем; -е
11;+;;+;; -а;;  -б, -г, -д, -з, -к, -м, -н, -п, -р, -с, -т, -ф, -х, -ч; -а; -у; -а; -ом; -е
12;+;;+;+;;; -ж, -ч, -ш, -щ, -ц; -а; -у; -а; -ем; -е
13;+;;+;;;; -в, -л; -а; -у; -а; -ым; -е
14;+;;;+;;;С; -а; -у; -а; -ом; -е
15;;+;;+;;; -ь; -и; -и; -ь; -ь; -и
16;;+;+;;;; -ая; -ой; -ой; -ую; -ой; -ой
17; ;+;+;;С;; -а; -ой; -ой; -у; -ой; -ой
18;;+;+;;С;; -я; -и; -е; -ю; -ой; -е
19;+;+;;+;;; -а; -ы; -е; -у; -ой; -е
20;+;+;;+;;; -я; -и; -е; -ю; -ей; -е
;;;;;;;;;;;;
;;;;;;;;;;;;
Условные  обозначения;;;;;;;;;;;;
;С -;согласная буква;;;;;;;;;;
;Г -;гласная буква;;;;;;;;;;
;;;;;;;;;;;;
;Буква предш. оконч.;;;;– если указана, то буква должна быть;;;;;;;
*;исключение в правиле № 15;;;;;;;;;;;
**;д.б. словарь исключений, плюс неизвестно у каких имен ударение падает на последний слог.;;;;;;;;;;;
;Если в словаре нет, переход к последним двум правилам;;;;;;;;;;;
;;;;;;;;;;;;
;Из входных данных известно само слово, чем это слово являетя: фамилией или именем, а также пол (муж или жен);;;;;;;;;;;
